Job,Haas,Economics,Haas (2017),Economics (2017)
Data Analyst,3,2,2,7
Financial/Business Analyst,35,58,66,33
Consultant,28,28,40,27
Software Engineer,15,6,1,11
Product Manager,8,0,7,1
Accountant/Auditor,14,11,17,8
Investment Banking,12,24,44,12
Research Assistant,8,1,0,7
Military,1,0,0,0
Teacher,1,0,2,1
Actuary,2,0,0,3
Policy Analyst,1,1,0,1
Government,1,0,0,3
Legal Analyst,1,0,0,3
Marketing,3,7,13,7
Human Resources,1,1,0,0
NGOs,1,0,1,0
Reporter,0,0,2,1
Trader,0,0,1,1
Total,228,190,273,226
